date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_pullback_low,anchor_low_date,anchor_high_date,anchor_pullback_low_date,signal_type,gap_up,entry_evidence_score,entry_evidence,industry_tags,grid_slot,value_line,account_mode
2026-02-27,sh.600961,株冶集团,右侧买入,23.85,23.85,29.81,R6; 33未三日下行首仓; 回调波段50%收盘放量向上突破; close_confirmed,exited,-0.0174,12500.0,23.85,买入,12500.0,298125.0,25.34,0.0,149.06,174.4,0.0,,,-174.4,-0.0585,-298299.4,30.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.32倍；基本面硬条件通过且多周期强度居前；20日强度+8.3%；60日强度+52.7%；120日强度+73.3%；距120日高点-13.0%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.32倍,8.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.32倍,trade_ready,aligned,0.5,11.13,27.48,18.72,2025-07-31,2026-01-29,2026-02-03,pullback_50_breakout,False,14.0,"['primary:pullback_50_breakout+5', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2']",贵金属,,,
2026-03-03,sh.600961,株冶集团,统一分仓收盘止盈1份,23.41,23.41,-5.96,止盈条件=profit_floor; 14:55/close proxy,exited,-0.1164,-2500.0,23.85,卖出,2500.0,58525.0,5.0,29.26,29.26,63.53,34.88,59625.0,-1100.0,-1198.41,-2.0087,58461.47,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-05,sh.600961,株冶集团,收盘条件退出,22.61,22.61,-23.85,R6; condition stop; 14:55/close proxy,exited,-1.2645,-10000.0,23.85,卖出,10000.0,226100.0,19.22,113.05,113.05,245.32,139.52,238500.0,-12400.0,-12784.84,-5.3574,225854.68,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16,sz.002056,横店东磁,右侧买入,22.875,22.875,29.97,R7; 33未三日下行首仓; 连阳波段一半拉回; 一半位置止损; intraday_cross,watch,-0.0175,13100.0,22.875,买入,13100.0,299662.5,25.47,0.0,149.83,175.3,0.0,,,-175.3,-0.0585,-299837.8,30.0,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准2.30倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+32.3%；60日强度+34.9%；120日强度+39.7%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准2.30倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准2.30倍；多周期均量扣低走高,trade_ready,aligned,,,,,,,,bull_run_half_pullback,,9.0,"['primary:bull_run_half_pullback+3', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'ma20_ma60_rising_alignment+2']",,,,
2026-03-17,sz.002056,横店东磁,收盘条件退出,22.27,22.27,-29.97,R7; condition stop; 14:55/close proxy,watch,-0.8242,-13100.0,22.875,卖出,13100.0,291737.0,24.8,145.87,145.87,316.53,175.3,299662.5,-7925.5,-8417.34,-2.8073,291420.47,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,sz.001337,四川黄金,右侧买入,46.76,46.76,29.93,R8; 33未三日下行首仓; 上涨波段50%有效跌破后收盘放量收复; 跳空向上加分; close_confirmed,watch,-0.0175,6400.0,46.76,买入,6400.0,299264.0,25.44,0.0,149.63,175.07,0.0,,,-175.07,-0.0585,-299439.07,30.0,False,True,100.0,基本面硬条件通过且多周期强度居前；20日强度-9.6%；60日强度+60.5%；120日强度+66.5%；距120日高点-37.8%；MA20/MA60同步上扬,4.0,MA20/MA60同步上扬,watch,aligned,0.5,20.36,72.94,,2024-12-31,2026-01-29,,uptrend_50_reclaim,True,14.0,"['primary:uptrend_50_reclaim+5', 'volume_confirmed+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'ma20_ma60_rising_alignment+2', 'deduction_low_price_volume_ma60+2', 'large_wave_structure+2', 'gap_up+1']",,,,
2026-03-26,sz.001337,四川黄金,突破次日未确认退出,46.45,46.45,-29.93,R8; 开盘未站上46.650; gap_stop,watch,-0.2307,-6400.0,46.76,卖出,6400.0,297280.0,25.27,148.64,148.64,322.55,175.07,299264.0,-1984.0,-2481.62,-0.8288,296957.45,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14,sh.688200,华峰测控,右侧买入,200.18,200.18,28.03,R9; 33未三日下行首仓; 回调波段50%收盘放量向上突破; close_confirmed,exited,-0.0164,1400.0,200.18,买入,1400.0,280252.0,23.82,0.0,140.13,163.95,0.0,,,-163.95,-0.0585,-280415.95,30.0,False,True,200.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+12.2%；60日强度+33.7%；120日强度+50.8%；距120日高点-8.5%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,7.0,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,trade_ready,aligned,0.5,92.22,215.5,166.58,2025-08-08,2026-02-13,2026-03-16,pullback_50_breakout,False,13.0,"['primary:pullback_50_breakout+5', 'volume_confirmed+1', 'entry_within_structure_zone', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2']",半导体,,,
2026-04-24,sh.688200,华峰测控,统一分仓收盘止盈1份,208.04,208.04,-4.0,止盈条件=profit_floor; 14:55/close proxy,active,0.1525,-200.0,200.18,卖出,200.0,41608.0,5.0,20.8,20.8,46.61,23.42,40036.0,1572.0,1501.97,3.7494,41561.39,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-21,sh.688200,华峰测控,统一分仓收盘止盈1份,291.23,291.23,-4.0,止盈条件=trailing_10; 14:55/close proxy,active,1.8147,-200.0,200.18,卖出,200.0,58246.0,5.0,29.12,29.12,63.25,23.42,40036.0,18210.0,18123.33,45.2411,58182.75,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,sh.688200,华峰测控,统一分仓收盘止盈1份,275.95,275.95,-4.0,止盈条件=volume_node_break:2026-05-25; 14:55/close proxy,active,1.5094,-200.0,200.18,卖出,200.0,55190.0,5.0,27.59,27.59,60.19,23.42,40036.0,15154.0,15070.39,37.6201,55129.81,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,sh.601138,工业富联,右侧买入,75.0,75.0,30.0,R10; 33未三日下行首仓; W底收盘放量突破颈线; close_confirmed,active,-0.0175,4000.0,75.0,买入,4000.0,300000.0,25.5,0.0,150.0,175.5,0.0,,,-175.5,-0.0585,-300175.5,30.0,False,False,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,trade_ready,aligned,,,,,,,,w_bottom_neckline,,14.0,"['primary:w_bottom_neckline+6', 'volume_confirmed+1', 'volume_expanded_1_3x+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2']",消费电子,,,
2026-05-29,sh.601138,工业富联,收盘条件退出,73.4,73.4,-30.0,R10; condition stop; 14:55/close proxy,active,-0.6719,-4000.0,75.0,卖出,4000.0,293600.0,24.96,146.8,146.8,318.56,175.5,300000.0,-6400.0,-6894.06,-2.2967,293281.44,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,sh.688200,华峰测控,统一分仓收盘止盈1份,268.33,268.33,-8.01,止盈条件=volume_node_break:2026-05-22; 14:55/close proxy,active,2.7144,-400.0,200.18,卖出,400.0,107332.0,9.12,53.67,53.67,116.46,46.84,80072.0,27260.0,27096.7,33.8206,107215.54,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,sh.688200,华峰测控,统一尾仓收盘退出,254.35,254.35,-8.01,止盈条件=maximum_profit_half; 14:55/close proxy,active,2.1558,-400.0,200.18,卖出,400.0,101740.0,8.65,50.87,50.87,110.39,46.84,80072.0,21668.0,21510.77,26.8486,101629.61,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,sh.688372,伟测科技,右侧买入,179.58,179.57999999999998,28.73,R11; 33未三日下行首仓; 连阳波段一半拉回; 一半位置止损; intraday_cross,active,-0.0168,1600.0,179.57999999999998,买入,1600.0,287328.0,24.42,0.0,143.66,168.09,0.0,,,-168.09,-0.0585,-287496.09,30.0,False,True,200.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+30.2%；60日强度+24.0%；120日强度+71.0%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,10.0,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,trade_ready,aligned,,,,,,,,bull_run_half_pullback,,10.0,"['primary:bull_run_half_pullback+3', 'volume_confirmed+1', 'entry_within_structure_zone', 'entry_tight_to_structure+1', 'close_above_rising_or_reclaimed_ma20+1', 'entry_near_or_reclaims_ma20+2', 'ma20_ma60_rising_alignment+2']",半导体,,,
2026-07-10,sh.688372,伟测科技,收盘条件退出,173.69,173.69,-28.73,R11; condition stop; 14:55/close proxy,active,-0.9726,-1600.0,179.57999999999998,卖出,1600.0,277904.0,23.62,138.95,138.95,301.53,168.09,287328.0,-9424.0,-9893.61,-3.4413,277602.47,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-14,sh.603986,兆易创新,右侧买入,583.99,583.99,29.2,R12; 33未三日下行首仓; 上涨波段50%有效跌破后收盘放量收复; close_confirmed,active,-0.0171,500.0,583.99,买入,500.0,291995.0,24.82,0.0,146.0,170.82,0.0,,,-170.82,-0.0585,-292165.82,30.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+14.4%；60日强度+97.0%；120日强度+120.6%；距120日高点-34.4%；MA20/MA60同步上扬；多周期均量扣低走高,5.0,MA20/MA60同步上扬；多周期均量扣低走高,watch,aligned,0.5,272.19,846.66,,2026-03-03,2026-06-29,,uptrend_50_reclaim,False,10.0,"['primary:uptrend_50_reclaim+5', 'volume_confirmed+1', 'entry_within_structure_zone', 'ma20_ma60_rising_alignment+2', 'large_wave_structure+2']",半导体,,,
