date,code,name,action,price,execution_price,position_change_pct,reason,phase,realized_account_pct,execution_quantity,cost_basis,trade_side,quantity,trade_amount,commission_amount,stamp_duty_amount,slippage_amount,transaction_cost_amount,allocated_entry_fee_amount,cost_amount,gross_pnl_amount,profit_loss_amount,profit_loss_pct,cash_change_amount,requested_position_pct,cash_limited,lot_rounded,board_lot_size,selection_reason,trade_basis_score,trade_basis_reason,technical_alignment,ima_web_validation,structure_ratio,anchor_low,anchor_high,anchor_low_date,anchor_high_date
2024-09-25,sh.601628,中国人寿,右侧买入,36.17,36.17,19.89,R1; 直接突破首仓; 价格突破21日收盘高点; gap_breakout,waiting,-0.0116,5500.0,36.17,买入,5500.0,198935.0,16.91,0.0,99.47,116.38,0.0,,,-116.38,-0.0585,-199051.38,20.0,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2024-10-08,sh.688111,金山办公,右侧买入,316.77,316.77,19.01,R2; 直接突破首仓; 上涨波段50%有效跌破后重新突破; gap_breakout,watch,-0.0111,600.0,316.77,买入,600.0,190062.0,16.16,0.0,95.03,111.19,0.0,,,-111.19,-0.0585,-190173.19,20.0,False,True,200.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准3.40倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准3.40倍；多周期均量扣低走高,trade_ready,aligned,0.5,266.68,363.34,2024-03-11,2024-03-21
2024-10-09,sh.688111,金山办公,突破次日未确认退出,293.96,293.96,-19.01,R2; 开盘未站上315.010; gap_stop,watch,-1.3877,-600.0,316.77,卖出,600.0,176376.0,14.99,88.19,88.19,191.37,111.19,190062.0,-13686.0,-13988.55,-7.3557,176184.63,,,,,,,,,,,,,,
2024-10-09,sh.601628,中国人寿,统一分仓收盘止盈1份,41.94,41.94,-3.98,14:55/close proxy,active,0.6296,-1100.0,36.17,卖出,1100.0,46134.0,5.0,23.07,23.07,51.13,23.28,39787.0,6347.0,6272.59,15.7562,46082.87,,,,,,,,,,,,,,
2024-10-09,sz.300394,天孚通信,右侧买入,60.6,60.6,20.0,R3; 直接突破首仓; 价格突破21日收盘高点; intraday_breakout,active,-0.0117,3300.0,60.6,买入,3300.0,199980.0,17.0,0.0,99.99,116.99,0.0,,,-116.99,-0.0585,-200096.99,20.0,False,True,100.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,trade_ready,aligned,,,,,
2024-10-10,sz.300394,天孚通信,突破次日未确认退出,56.27,56.27,-20.0,R3; 开盘未站上60.600; gap_stop,active,-1.449,-3300.0,60.6,卖出,3300.0,185691.0,15.78,92.85,92.85,201.47,116.99,199980.0,-14289.0,-14607.46,-7.3002,185489.53,,,,,,,,,,,,,,
2024-10-10,sh.601628,中国人寿,右侧买入,41.67,41.67,7.92,R4; 浮盈加仓50%; 上涨波段75.0%拉回支撑; 共振=MA5; gap_or_open_fill,active,-0.0046,1900.0,41.67,买入,1900.0,79173.0,6.73,0.0,39.59,46.32,0.0,,,-46.32,-0.0585,-79219.32,7.957400000000001,False,True,100.0,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高,9.0,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高,trade_ready,aligned,0.75,27.88,46.6,2024-08-12,2024-10-08
2024-10-10,sh.688516,奥特维,右侧买入,56.325,56.325,19.15,R5; 直接突破首仓; 上涨波段50%有效跌破后重新突破; intraday_breakout,active,-0.0112,3400.0,56.325,买入,3400.0,191505.0,16.28,0.0,95.75,112.03,0.0,,,-112.03,-0.0585,-191617.03,20.0,False,True,200.0,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.66倍；多周期均量扣低走高,12.0,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.66倍；多周期均量扣低走高,trade_ready,aligned,0.5,40.9,71.75,2024-02-05,2024-04-11
2024-10-11,sh.688516,奥特维,突破次日未确认退出,49.89,49.89,-19.15,R5; 开盘未站上56.325; gap_stop,active,-2.2063,-3400.0,56.325,卖出,3400.0,169626.0,14.42,84.81,84.81,184.04,112.03,191505.0,-21879.0,-22175.07,-11.5726,169441.96,,,,,,,,,,,,,,
2024-10-11,sh.601628,中国人寿,收盘条件退出,41.11,41.11,-7.92,R4; condition stop; 14:55/close proxy,active,-0.1149,-1900.0,41.67,卖出,1900.0,78109.0,6.64,39.05,39.05,84.75,46.32,79173.0,-1064.0,-1195.06,-1.5086,78024.25,,,,,,,,,,,,,,
